,,,,,,,,,
Round 1 - Mexico City,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Cassidy,Lotterer,Bird,Da Costa,Wehrlein,Cassidy,Eric Vergne,Mueller,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Hughes,Rowland,Dennis,Eric Vergne,Cassidy,Evans,Dennis,Lotterer,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,150,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 10 - Jakarta 1,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Hughes,Frijns,Dennis,Eric Vergne,Cassidy,Evans,Dennis,Beckmann,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Gunther,Buemi,Buemi,Hughes,Wehrlein,Dennis,Gunther,Evans,No
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,0
,,,,,,,,,
Total Round Points,,,,,0,,,,
,,,,,,,,,
,,,,Season Points,150,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 11 - Jakarta 2,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Evans,Merhi,Vandoorne,Da Costa,Bird,Dennis,Cassidy,Buemi,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Gunther,Frijns,Dennis,Dicktum,Gunther,Dennis,Evans,Beckmann,No
,,,,,,,,,
Points,0,0,0,0,0,10,0,0,0
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,160,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 12 - Portland,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Gunther,Frijns,Dennis,Rast,Gunther,Dennis,Evans,Lotterer,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Dennis,Frijns,Evans,Evans,Cassidy,Dennis,Da Costa,Merhi,Yes
,,,,,,,,,
Points,0,10,0,0,0,10,0,0,10
,,,,,,,,,
Total Round Points,,,,,30,,,,
,,,,,,,,,
,,,,Season Points,190,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 13 - Rome 1,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Dennis,Frijns,Evans,Bird,Cassidy,Dennis,Evans,Merhi,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Evans,Mueller,Evans,Sette Camara,Evans,Cassidy,Gunther,Lotterer,Yes
,,,,,,,,,
Points,0,0,10,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,20,,,,
,,,,,,,,,
,,,,Season Points,210,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
