,,,,,,,,,
Round 1 - Mexico City,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Gunther,Fenestraz,Dennis,Cassidy,Evans,Dennis,Vandoorne,Mueller,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Hughes,Rowland,Dennis,Eric Vergne,Cassidy,Evans,Dennis,Lotterer,Yes
,,,,,,,,,
Points,0,0,10,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,20,,,,
,,,,,,,,,
,,,,Season Points,110,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 10 - Jakarta 1,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Gunther,Cassidy,Mortara,di Grassi,Evans,Vandoorne,Gunther,Merhi,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Gunther,Buemi,Buemi,Hughes,Wehrlein,Dennis,Gunther,Evans,No
,,,,,,,,,
Points,10,0,0,0,0,0,10,0,0
,,,,,,,,,
Total Round Points,,,,,20,,,,
,,,,,,,,,
,,,,Season Points,130,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 11 - Jakarta 2,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Gunther,Beckmann,Cassidy,Hughes,Dennis,Gunther,Cassidy,Beckmann,No
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Gunther,Frijns,Dennis,Dicktum,Gunther,Dennis,Evans,Beckmann,No
,,,,,,,,,
Points,10,0,0,0,0,0,0,10,10
,,,,,,,,,
Total Round Points,,,,,30,,,,
,,,,,,,,,
,,,,Season Points,160,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 12 - Portland,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Rast,Rast,Rast,Cassidy,Gunther,Rast,Bird,Merhi,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Dennis,Frijns,Evans,Evans,Cassidy,Dennis,Da Costa,Merhi,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,10,10
,,,,,,,,,
Total Round Points,,,,,20,,,,
,,,,,,,,,
,,,,Season Points,180,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 13 - Rome 1,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Evans,Wehrlein,Evans,Cassidy,Evans,Dennis,Cassidy,Mueller,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Evans,Mueller,Evans,Sette Camara,Evans,Cassidy,Gunther,Lotterer,Yes
,,,,,,,,,
Points,10,0,10,0,20,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,50,,,,
,,,,,,,,,
,,,,Season Points,230,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
