,,,,,,,,,
Round 1 - Mexico City,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Evans,Evans,Evans,Wehrlein,Vandoorne,Evans,Gunther,Lotterer,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Hughes,Rowland,Dennis,Eric Vergne,Cassidy,Evans,Dennis,Lotterer,Yes
,,,,,,,,,
Points,0,0,0,0,0,10,0,10,10
,,,,,,,,,
Total Round Points,,,,,30,,,,
,,,,,,,,,
,,,,Season Points,150,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 10 - Jakarta 1,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Eric Vergne,Buemi,Evans,Eric Vergne,Evans,Mortara,Dennis,Merhi,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Gunther,Buemi,Buemi,Hughes,Wehrlein,Dennis,Gunther,Evans,No
,,,,,,,,,
Points,0,10,0,0,0,0,0,0,0
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,160,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 11 - Jakarta 2,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Eric Vergne,Rast,Cassidy,Wehrlein,Cassidy,Dennis,Evans,Beckmann,No
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Gunther,Frijns,Dennis,Dicktum,Gunther,Dennis,Evans,Beckmann,No
,,,,,,,,,
Points,0,0,0,0,0,10,10,10,10
,,,,,,,,,
Total Round Points,,,,,40,,,,
,,,,,,,,,
,,,,Season Points,200,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 12 - Portland,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Gunther,Wehrlein,Rast,Cassidy,Evans,Dennis,Cassidy,Sette Camara,No
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Dennis,Frijns,Evans,Evans,Cassidy,Dennis,Da Costa,Merhi,Yes
,,,,,,,,,
Points,0,0,0,0,0,10,0,0,0
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,210,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 13 - Rome 1,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Evans,Wehrlein,Dennis,Cassidy,Evans,Wehrlein,Dennis,Mueller,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Evans,Mueller,Evans,Sette Camara,Evans,Cassidy,Gunther,Lotterer,Yes
,,,,,,,,,
Points,10,0,0,0,20,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,40,,,,
,,,,,,,,,
,,,,Season Points,250,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
